movie_id,genre_id
862,16
862,35
862,10751
8844,12
8844,14
8844,10751
949,28
949,80
949,18
949,53
710,12
710,28
710,53
1408,28
1408,12
524,18
524,80
4584,18
4584,10749
5,80
5,35
8012,35
8012,53
8012,80
1710,18
1710,53
451,18
451,10749
902,14
902,878
902,12
63,878
63,53
63,9648
687,18
577,14
577,18
577,35
577,53
807,80
807,9648
807,53
8391,18
8391,10749
629,18
629,80
629,53
2054,10402
2054,18
2054,10751
4482,35
4482,10749
755,27
755,28
755,53
755,80
27526,18
27526,53
400,18
400,80
880,18
880,35
8447,18
8447,10749
2086,80
2086,18
2086,53
406,18
2045,18
2045,9648
2045,878
2045,53
688,18
688,10749
197,28
197,18
197,36
197,10752
103,80
103,18
2074,35
2074,10749
27793,14
568,18
414,28
414,80
414,14
649,18
649,10749
1873,18
1873,53
5894,35
8839,14
8839,35
8839,10751
8963,28
8963,53
8963,18
26564,99
8068,53
8068,28
8068,80
8512,18
8512,9648
8512,53
1572,28
1572,53
6520,28
6520,12
6520,18
6520,10749
8973,9648
8973,27
8973,53
2293,10749
2293,35
1642,80
1642,18
1642,9648
1642,53
1642,28
32646,18
281,80
281,18
281,878
281,53
5967,18
5967,10749
3512,28
3512,53
65796,28
65796,37
26258,12
26258,28
26258,35
26258,80
26258,10751
76,18
76,10749
6715,18
6715,10751
2292,35
1909,10749
1909,18
1909,35
8984,18
8984,53
8984,80
8984,9648
8984,10749
4954,28
4954,12
4954,53
522,35
522,18
522,36
397,35
397,10749
1024,18
1024,14
628,27
628,10749
6280,35
6280,10751
6280,10749
6071,28
6071,80
6071,18
6071,53
11,12
11,28
11,878
4476,12
4476,18
4476,10749
4476,10752
32325,80
32325,18
3036,18
3036,27
3036,878
3036,10749
8986,35
8986,10749
1945,18
1945,53
241,80
241,53
241,18
527,18
6950,28
6950,18
6950,878
6950,53
101,53
101,80
101,18
2307,35
2307,18
2307,10749
680,53
680,80
3586,18
3586,35
110,18
110,9648
110,10749
108,18
108,10402
108,9648
159185,18
2636,28
2636,53
2164,28
2164,12
2164,878
278,18
278,80
193,878
193,28
193,12
193,53
95963,18
95963,10752
1587,10749
1587,18
2064,35
2064,18
2064,10749
236,18
236,35
236,10749
3049,35
3049,9648
2759,18
2759,35
888,14
888,35
888,10751
13,35
13,18
13,10749
712,35
712,18
712,10749
8587,10751
8587,16
8587,18
1689,18
1689,36
854,10749
854,35
854,80
854,14
2788,18
8987,28
8987,12
8987,80
8987,53
8831,53
8831,878
8831,28
8831,80
315,28
315,80
8011,28
8011,14
8011,878
2654,27
2654,9648
2654,53
2758,35
2758,10751
2758,14
306,28
306,35
306,80
26203,9648
26203,80
26203,18
26203,53
178,18
178,28
178,53
4722,27
4722,878
4722,53
26391,35
6075,28
6075,80
6075,18
6075,53
2124,18
2124,9648
2124,10749
2124,53
49299,18
26141,35
5503,12
5503,28
5503,53
5503,80
5503,9648
2087,18
2087,28
2087,53
4916,18
4916,53
2019,28
2019,12
2019,80
2019,53
26271,35
2259,10749
2259,18
7984,18
6,28
6,53
6,80
329,12
329,878
507,28
507,80
507,18
507,53
1413,18
1413,10749
2246,18
2246,80
2320,28
2320,12
2320,18
2320,53
5879,18
5879,10749
2625,18
2625,10749
788,35
788,18
788,10751
713,18
713,10749
8291,18
8291,10749
1245,18
1245,10749
7007,28
7007,18
7007,53
5550,28
5550,12
5550,80
5550,878
5550,53
2088,28
2088,80
2088,18
2088,53
424,18
424,36
424,10752
8850,12
8850,14
8850,28
8850,53
8850,878
695,35
695,18
858,35
858,18
858,10749
867,18
867,53
78,878
78,18
78,53
319,28
319,53
319,80
319,10749
32562,36
32562,99
771,35
771,10751
251,14
251,18
251,53
251,9648
251,10749
812,16
812,10751
812,35
812,12
812,14
812,10749
280,28
280,53
280,878
581,12
581,18
581,37
80350,53
80350,28
80350,18
268,14
268,28
274,80
274,18
274,53
408,14
408,16
408,10751
114,10749
114,35
576,12
576,37
7300,35
7300,10749
275,80
275,18
275,53
8766,27
8766,53
8766,878
4307,18
4307,10749
1592,80
1592,18
1592,9648
1592,53
38884,18
38884,36
38884,10752
38884,10749
2021,35
2021,18
2021,10749
954,12
954,28
954,53
8840,14
5801,18
896,18
3065,35
3065,878
2300,16
2300,35
2300,18
2300,10751
2300,14
8069,878
27768,18
27768,53
38867,18
38867,10749
753,18
8866,35
8866,10749
922,18
922,14
922,37
73183,99
664,28
664,12
664,18
532,10751
532,16
532,35
26744,18
26744,28
26744,80
935,18
935,35
935,10752
7095,35
7095,18
7095,878
627,18
627,80
602,28
602,12
602,878
81949,18
81949,10749
81949,10752
1645,80
1645,18
1645,53
34170,10751
34170,35
4837,18
4837,35
4837,10749
2925,35
3595,28
3595,53
3573,18
3573,35
3573,10749
144982,18
47907,35
47907,18
549,18
549,36
238,18
238,80
159,35
159,18
3587,14
3587,35
3587,10751
981,35
981,10749
872,35
872,10402
872,10749
2769,18
2769,35
2769,10402
2769,10749
164,35
164,18
164,10749
426,9648
426,10749
426,53
567,18
567,9648
567,53
3078,35
3078,10749
213,9648
213,53
284,35
284,18
284,10749
239,35
239,10749
4808,35
4808,9648
4808,10749
4808,53
289,18
289,10749
963,9648
963,80
963,53
6620,35
6620,18
6620,10749
804,35
804,10749
909,35
909,10402
909,10749
630,12
630,10751
630,14
770,18
770,10749
770,10752
599,18
15,9648
15,18
62,878
62,9648
62,12
705,18
223,18
223,9648
303,53
303,18
303,10749
4174,18
4174,9648
4174,53
381,80
381,18
381,9648
381,10749
381,53
1859,35
1859,10749
1939,18
1939,9648
3598,12
3598,14
3598,18
3598,9648
3080,35
3080,10402
3080,10749
198,35
198,10752
220,18
3529,35
3529,80
3529,9648
3085,35
3085,18
2897,12
2897,35
2897,10751
2897,14
2897,10749
1585,18
1585,10751
1585,14
3083,35
3083,18
900,35
900,10749
26378,53
26378,80
26378,18
26378,9648
260,28
260,53
260,9648
488,12
488,10752
488,10749
261,18
261,10749
125587,18
890,18
1770,18
1770,53
2033,18
2033,10749
25739,35
6346,80
6346,18
173,12
173,18
173,878
864,35
8367,12
433,35
433,10751
433,14
562,28
562,53
454,18
454,10749
819,80
819,18
819,53
1834,80
1834,18
1834,9648
1834,53
26282,12
26282,18
26282,10749
252,10751
252,14
623,35
623,80
583,35
475,80
475,18
521,80
521,9648
521,53
88,18
88,10402
88,10749
500,80
500,53
792,18
792,10752
792,28
8491,35
402,53
402,9648
601,878
601,12
601,10751
601,14
67365,35
25842,14
25842,18
25842,10751
2119,12
744,28
744,10749
744,10752
136311,28
136311,35
702,18
25750,27
1630,18
124837,99
2756,12
2756,28
2756,53
2756,878
790,27
1103,878
1103,28
4480,18
4481,18
49688,18
762,12
762,35
762,14
531,16
531,35
531,10751
4483,9648
4483,80
4483,18
4483,36
4483,10749
26167,80
26174,53
26174,80
659,18
659,36
659,10752
30892,18
30892,35
892,35
892,878
892,14
1600,18
1600,53
26561,10749
26561,18
975,18
975,10752
409,18
409,10749
409,10752
1412,18
2469,35
2469,80
2469,18
2469,10749
31225,99
510,18
1891,12
1891,28
1891,878
2493,12
2493,10751
2493,14
2493,35
2493,10749
85,12
85,28
68,35
68,878
679,27
679,28
679,53
679,878
429,37
389,18
947,12
947,18
947,36
947,10752
185,878
185,18
595,80
595,18
28,18
28,10752
335,37
1892,12
1892,28
1892,878
144,18
144,14
144,10749
1092,53
1092,9648
769,18
769,80
348,27
348,28
348,53
348,878
766,14
766,27
766,35
175,12
175,18
175,10749
539,18
539,27
539,53
525,10402
525,35
525,28
525,80
240,18
240,80
600,18
600,10752
530,12
530,16
530,35
530,878
530,10751
279,18
279,36
279,10402
3109,35
3109,18
3109,10749
311,18
311,80
1578,18
703,35
703,18
703,10749
1398,18
1398,878
1398,53
387,28
387,18
387,36
387,10752
387,12
343,35
343,18
343,10749
490,14
490,18
218,28
218,53
218,878
763,27
763,35
696,35
696,18
696,10749
379,18
379,53
379,80
207,18
1480,18
1480,53
1480,80
826,18
826,36
826,10752
422,14
422,18
829,80
829,18
829,9648
829,53
828,18
828,878
828,53
3090,28
3090,12
3090,18
3090,37
3063,35
694,27
694,53
235,80
235,18
832,18
832,28
832,53
832,80
765,27
765,35
765,14
5925,12
5925,18
5925,36
5925,53
5925,10752
4485,28
4485,18
4485,10402
4485,53
137,10749
137,14
137,18
137,35
33,37
982,9648
982,53
212,35
212,80
105,12
105,35
105,878
105,10751
1633,18
1633,35
1554,80
1554,18
1554,35
149,878
149,16
8009,12
8009,28
8009,14
903,80
903,18
3034,35
3034,878
339,35
339,18
914,35
756,16
756,10751
756,10402
288,37
910,80
910,18
910,9648
910,53
2640,53
2640,35
2640,18
665,28
665,12
665,18
665,36
89,12
89,28
783,18
783,36
625,10752
625,18
625,36
8816,18
8816,35
830,12
830,878
830,28
2323,18
2323,14
983,12
983,18
642,36
642,18
642,37
642,80
655,18
639,35
639,10749
639,18
814,27
814,35
25944,27
32076,80
32076,18
32076,27
32076,9648
32076,53
571,27
8851,27
8851,878
6114,10749
6114,27
229,27
229,878
1598,80
1598,53
7340,27
7340,53
6217,18
6217,14
6217,27
6217,53
377,27
653,14
653,27
794,27
794,53
8744,80
8744,18
8744,53
145,18
145,10749
2212,28
2212,18
2212,27
2212,9648
2212,53
199,878
199,28
199,12
199,53
64900,18
64900,9648
1573,28
1573,53
152,878
152,12
152,9648
174,878
174,28
174,12
174,53
172,878
172,28
172,12
172,53
154,28
154,12
154,878
154,53
157,878
157,28
157,12
157,53
168,878
168,12
364,28
364,14
621,10749
55687,28
55687,878
55687,53
8845,28
8845,53
579,27
579,53
75,35
75,14
75,878
378,35
378,80
2322,35
2322,80
2322,18
26949,18
26949,10749
3179,16
3179,35
4232,80
4232,27
4232,9648
2928,35
2928,18
2928,14
8818,36
8818,18
8818,10402
34314,28
34314,53
34314,80
2892,18
8860,28
8860,12
8860,35
8860,80
8860,53
31000,28
31000,35
4104,35
4104,18
4104,10749
26306,18
26306,10749
784,10402
784,18
784,35
1968,18
1968,35
1968,10749
66,80
66,18
66,53
638,18
638,53
638,9648
884,18
884,53
884,10749
1624,35
4477,80
4477,53
4477,18
6499,28
6499,12
6499,10751
6499,14
6499,878
6499,53
93946,18
816,878
816,35
816,80
2163,18
2163,28
2163,53
18,12
18,14
18,28
18,53
18,878
1811,878
1811,18
1811,35
2058,35
2058,10749
330,12
330,28
330,878
33660,18
33660,10751
1701,28
1701,53
1701,80
26422,18
26422,10769
26422,10749
1639,28
1639,12
1639,53
107743,35
107743,10749
415,28
415,80
415,14
8874,35
8874,10749
266,18
754,28
754,80
754,878
754,53
607,28
607,12
607,35
607,878
4421,28
4421,18
2142,28
2142,80
2142,18
8834,28
8834,18
8834,9648
8834,53
8854,878
8854,28
8854,12
4961,14
4961,27
4961,53
26180,28
26180,35
26180,10749
6072,18
6072,53
1669,28
1669,12
1669,53
468,18
468,10749
108401,35
108401,18
6623,28
6623,53
2118,80
2118,18
2118,9648
2118,53
2649,18
2649,53
2649,9648
2255,35
2255,18
2255,10749
3597,27
3597,53
3597,9648
782,53
782,878
782,9648
782,10749
1959,18
1959,10749
1281,35
4995,18
45928,80
45928,53
563,12
563,28
563,53
563,878
31535,35
4824,28
4824,53
4824,12
4824,80
2895,18
2639,35
2639,18
489,18
8197,80
8197,18
8197,9648
8197,53
6283,35
6283,10751
4233,27
4233,9648
597,18
597,10749
597,53
714,12
714,28
714,53
62394,18
547,18
547,10749
184,35
184,80
184,10749
115,35
115,80
26941,18
26941,10749
26941,35
32302,28
32302,35
32302,10751
586,35
586,18
2666,9648
2666,878
6116,12
6116,14
6116,18
6116,35
6116,10402
2923,10749
2923,80
2923,18
30949,9648
30949,53
30949,18
30949,10749
30949,80
2898,35
2898,10749
26269,18
26269,80
26269,9648
26269,53
6970,10402
6970,35
6970,14
6970,12
47452,18
47452,10749
47452,10769
617,53
5910,80
5910,18
32456,18
32456,10749
1774,99
2157,12
2157,10751
2157,878
8838,28
8838,80
8838,18
8838,53
795,18
795,14
795,10749
27472,12
27472,35
267,18
267,10749
267,53
73135,53
6264,12
6264,14
4415,80
4415,18
4415,36
4415,10749
8656,28
8656,18
8656,10749
929,878
929,28
929,53
1878,12
1878,18
1878,35
26610,80
26610,18
26610,53
1965,80
1965,53
1965,18
312,18
6068,28
6068,12
6068,35
6068,10749
846,9648
846,878
846,53
3050,35
3050,10751
3050,14
1389,10749
1389,35
1389,80
95,28
95,53
95,878
95,12
944,28
944,12
944,35
944,80
944,53
473,9648
473,18
473,53
544,10749
544,35
143,18
143,10752
887,18
887,36
887,10749
654,80
654,18
1725,80
1725,18
1725,10402
5769,12
5769,35
5769,36
5769,10749
874,18
874,36
3116,18
1051,28
1051,80
1051,53
1366,18
606,18
746,18
746,36
380,18
466,9648
2108,35
2108,18
4488,27
948,27
948,53
41828,53
41828,35
41828,27
41769,27
609,27
941,12
941,28
941,35
941,53
941,80
942,28
942,12
942,35
942,80
942,53
943,12
943,28
943,35
943,53
943,80
927,14
927,27
927,35
928,35
928,27
928,14
19,18
19,878
165,12
165,35
165,10751
165,878
196,12
196,35
196,10751
196,878
551,28
551,12
3170,16
3170,18
3170,10751
346,28
346,18
859,18
859,10749
841,28
841,878
841,12
242,80
242,18
242,53
1411,9648
1411,18
857,18
857,36
857,10752
1779,99
1779,36
678,18
678,9648
678,53
907,18
907,10749
907,10752
5961,14
5961,18
5961,9648
2887,18
793,80
793,18
793,9648
793,53
